"","C14","No.Trees","WD.avg","Ht.avg","DistVillage","Province","Trees.c","Bin"
"1",195.1059515,553,0.384713896,26.69563154,1253.34,"ESTUAIRE",549.397964521241,0
"2",311.9688512,371,0.59254328,30.51611729,18586.29,"WOLEU NTEM",367.397964521241,1
"3",221.4709048,478,0.587893683,18.32257358,1558.2,"WOLEU NTEM",474.397964521241,0
"4",327.9076427,411,0.667102381,21.52309979,24048.19,"ESTUAIRE",407.397964521241,1
"5",199.5321511,519,0.653884221,14.49086885,5547.55,"WOLEU NTEM",515.397964521241,0
"6",298.0149373,400,0.681271552,17.35496636,10692.53,"OGOOUE IVINDO",396.397964521241,1
"7",212.9145942,457,0.577698284,16.10367597,4222.57,"OGOOUE LOLO",453.397964521241,0
"8",163.5687451,258,0.714289362,21.8674346,3190.56,"OGOOUE MARITIME",254.397964521241,0
"9",462.7406207,458,0.578047666,23.6916115,9924.44,"NGOUNIE",454.397964521241,1
"10",123.580916,534,0.495540057,20.98698874,9360.88,"HAUT OGOOUE",530.397964521241,0
"11",286.9347502,354,0.621166652,16.72720206,1593.4,"OGOOUE LOLO",350.397964521241,1
"12",425.1674323,470,0.663967496,22.31709339,25964.21,"OGOOUE LOLO",466.397964521241,1
"13",440.0129679,416,0.649776685,21.40519349,24486.51,"WOLEU NTEM",412.397964521241,1
"14",297.5454836,506,0.633359916,17.41056747,7796.8,"NGOUNIE",502.397964521241,1
"15",303.0128797,489,0.604648544,17.9989223,2940.62,"NYANGA",485.397964521241,1
"16",584.215782,416,0.695580347,28.81413611,3664.18,"OGOOUE IVINDO",412.397964521241,1
"17",293.116884,378,0.677633648,17.60403599,3076.3,"NGOUNIE",374.397964521241,1
"18",375.3529248,500,0.582952589,21.40508417,3512.56,"HAUT OGOOUE",496.397964521241,1
"19",271.2786162,548,0.631003757,22.36851105,1275.92,"MOYEN OGOOUE",544.397964521241,1
"20",483.824317,329,0.666064861,22.77238772,8761.66,"MOYEN OGOOUE",325.397964521241,1
"21",504.1354337,279,0.713943466,25.91096985,15351.23,"OGOOUE IVINDO",275.397964521241,1
"22",489.2788086,528,0.658896888,30.49800215,6975.71,"NGOUNIE",524.397964521241,1
"23",324.8521257,534,0.667017367,23.11007953,25126.11,"OGOOUE IVINDO",530.397964521241,1
"24",427.9991884,331,0.695314384,26.26382493,4968.18,"OGOOUE MARITIME",327.397964521241,1
"25",357.0117676,567,0.702734252,22.78126085,36184.12,"MOYEN OGOOUE",563.397964521241,1
"26",390.2831145,372,0.701836535,23.01363226,7754.79,"OGOOUE IVINDO",368.397964521241,1
"27",269.5385237,390,0.66955877,16.15054581,13127.56,"OGOOUE IVINDO",386.397964521241,1
"28",58.17656612,158,0.556529486,19.89736907,4009.54,"OGOOUE IVINDO",154.397964521241,0
"29",328.7445028,489,0.642587385,15.32954969,25935.27,"MOYEN OGOOUE",485.397964521241,1
"30",343.2692111,454,0.687636801,17.5593274,3798.39,"OGOOUE LOLO",450.397964521241,1
"31",284.4010831,551,0.599219593,16.93640813,10489.36,"OGOOUE LOLO",547.397964521241,1
"32",144.1246621,504,0.48294975,16.49092049,1870.33,"NGOUNIE",500.397964521241,0
"33",229.8224475,429,0.443312058,16.43093578,5735.01,"ESTUAIRE",425.397964521241,1
"34",312.3782728,275,0.62338323,20.20341473,24563.28,"WOLEU NTEM",271.397964521241,1
"35",359.250537,373,0.681909546,21.15127431,27821.67,"HAUT OGOOUE",369.397964521241,1
"36",382.3166404,462,0.664017764,25.01679248,3010.64,"MOYEN OGOOUE",458.397964521241,1
"37",295.6179974,375,0.652829072,19.904168,10397.84,"OGOOUE LOLO",371.397964521241,1
"38",481.96453,505,0.644987374,28.50318563,10126.75,"HAUT OGOOUE",501.397964521241,1
"39",7.596780869,73,0.366066667,7.061674389,1712.65,"MOYEN OGOOUE",69.397964521241,0
